"Area","Kind","Condition"
12695.9264705882,"10ng_EGF+200","10ng_EGF"
17378.6315789474,"10ng_EGF+200","10ng_EGF"
7756.01818181818,"10ng_EGF+200","10ng_EGF"
25609.5869565217,"10ng_EGF+200","10ng_EGF"
6865.87234042553,"10ng_EGF+200","10ng_EGF"
29430.3125,"10ng_EGF+200","10ng_EGF"
12177.1612903226,"10ng_EGF+200","10ng_EGF"
2174.86486486487,"10ng_EGF+200","10ng_EGF"
7846.16666666667,"10ng_EGF+200","10ng_EGF"
15325.7959183673,"10ng_EGF+200","10ng_EGF"
55452.5495495495,"10ng_EGF+200","10ng_EGF"
6718.31914893617,"10ng_EGF+200","10ng_EGF"
3852.26315789474,"10ng_EGF+200","10ng_EGF"
14237.1882352941,"10ng_EGF+200","10ng_EGF"
5016.7027027027,"10ng_EGF+200","10ng_EGF"
4627.00900900901,"10ng_EGF+200","10ng_EGF"
2052.12612612613,"10ng_EGF+200","10ng_EGF"
1362.31578947368,"10ng_EGF+200","10ng_EGF"
1948.21621621622,"10ng_EGF+200","10ng_EGF"
30791.6306306306,"10ng_EGF+200","10ng_EGF"
73353.5,"Control+6","Control"
7666.42857142857,"Control+6","Control"
22688,"Control+6","Control"
46230.16,"Control+6","Control"
32400.875,"Control+6","Control"
11797.7142857143,"Control+6","Control"
16369.3,"Control+6","Control"
7620.82857142857,"Control+6","Control"
16818.347826087,"Control+6","Control"
3474.125,"Control+6","Control"
11205.2,"Control+6","Control"
42282,"Control+6","Control"
5621.8,"Control+6","Control"
122065.458333333,"Control+24","Control"
